UDI,Product ID,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type_H,Type_L,Type_M
1230,L48409,297.1,308.4,1304,53.5,153,0,0,1,0
1231,M16090,297.1,308.4,1880,23.5,155,0,0,0,1
1232,M16091,297.2,308.5,1604,40.7,158,0,0,0,1
1233,L48412,297.2,308.6,1500,37.1,161,0,0,1,0
1234,M16093,297.2,308.5,1364,55.6,163,0,0,0,1
1235,H30648,297.2,308.5,2440,14.0,166,0,1,0,0
1236,H30649,297.1,308.4,1654,31.4,171,0,1,0,0
1237,H30650,297.1,308.4,1359,46.6,176,0,1,0,0
1238,M16097,297.1,308.4,1502,37.3,181,0,0,0,1
1239,M16098,297.1,308.4,1615,32.6,184,0,0,0,1
1240,H30653,297.2,308.5,1482,39.3,187,0,1,0,0
1241,L48420,297.2,308.6,1636,31.3,192,0,0,1,0
1242,M16101,297.1,308.5,1621,32.4,194,0,0,0,1
1243,L48422,297.1,308.4,1468,44.4,197,0,0,1,0
1244,M16103,297.1,308.4,1432,53.4,199,0,0,0,1
1245,L48424,297.1,308.4,1726,28.4,202,0,0,1,0
1246,M16105,297.1,308.4,1588,33.4,204,0,0,0,1
1247,H30660,297.2,308.5,1653,33.3,207,0,1,0,0
1248,L48427,297.2,308.5,1513,42.9,212,0,0,1,0
1249,L48428,297.2,308.6,1489,40.2,214,0,0,1,0
1250,L48429,297.3,308.7,1467,36.8,216,0,0,1,0
1251,L48430,297.3,308.7,1549,36.1,218,0,0,1,0
1252,M16111,297.4,308.8,1359,48.7,220,0,0,0,1
1253,L48432,297.5,308.8,1533,41.5,223,0,0,1,0
1254,L48433,297.5,308.8,1309,57.3,0,0,0,1,0
1255,H30668,297.5,308.8,1430,49.4,2,0,1,0,0
1256,H30669,297.5,308.9,1419,50.7,7,0,1,0,0
1257,M16116,297.5,308.9,1535,37.7,12,0,0,0,1
1258,L48437,297.5,308.9,1466,43.0,15,0,0,1,0
1259,L48438,297.5,308.9,1427,50.4,17,0,0,1,0
1260,M16119,297.5,308.9,1280,48.5,19,0,0,0,1
1261,L48440,297.6,309.0,1528,33.8,22,0,0,1,0
1262,H30675,297.6,309.0,1885,25.2,24,0,1,0,0
1263,H30676,297.8,309.2,1648,33.0,29,0,1,0,0
1264,L48443,297.8,309.2,1400,56.9,34,0,0,1,0
1265,M16124,297.8,309.3,2243,15.7,36,0,0,0,1
1266,L48445,297.9,309.4,1558,35.7,39,0,0,1,0
1267,L48446,298.0,309.6,1633,34.8,41,0,0,1,0
1268,M16127,298.1,309.6,1549,38.7,43,0,0,0,1
1269,L48448,298.0,309.5,1496,45.8,46,0,0,1,0
1270,L48449,298.1,309.5,1467,41.8,48,0,0,1,0
1271,M16130,298.0,309.4,1276,65.9,50,0,0,0,1
1272,H30685,298.0,309.4,1490,40.5,53,0,1,0,0
1273,H30686,298.0,309.4,1562,38.1,58,0,1,0,0
1274,L48453,298.1,309.4,1397,48.2,63,0,0,1,0
1275,H30688,298.1,309.5,1530,40.2,65,0,1,0,0
1276,M16135,298.1,309.4,1362,47.6,70,0,0,0,1
1277,M16136,298.2,309.4,1693,34.4,73,0,0,0,1
1278,M16137,298.2,309.4,1408,46.5,76,0,0,0,1
1279,L48458,298.2,309.4,1398,52.9,79,0,0,1,0
1280,M16139,298.3,309.6,1531,40.1,81,0,0,0,1
1281,H30694,298.3,309.5,1521,37.1,84,0,1,0,0
1282,H30695,298.3,309.5,1427,54.3,89,0,1,0,0
1283,L48462,298.3,309.4,1546,36.1,94,0,0,1,0
1284,L48463,298.3,309.4,1356,45.4,96,0,0,1,0
1285,L48464,298.4,309.5,2153,15.3,98,1,0,1,0
1286,M16145,298.5,309.6,1492,41.7,100,0,0,0,1
1287,L48466,298.5,309.6,1582,40.3,103,0,0,1,0
1288,L48467,298.5,309.6,1419,41.5,105,0,0,1,0
1289,M16148,298.5,309.6,1441,48.2,107,0,0,0,1
1290,M16149,298.6,309.7,1635,32.2,110,0,0,0,1
1291,L48470,298.6,309.7,1429,45.8,113,0,0,1,0
1292,M16151,298.6,309.7,1675,28.4,115,0,0,0,1
1293,M16152,298.7,309.7,1868,23.8,118,0,0,0,1
1294,H30707,298.7,309.8,1582,33.4,121,0,1,0,0
1295,L48474,298.8,309.9,1486,40.3,126,0,0,1,0
1296,L48475,298.7,309.8,1402,54.3,128,0,0,1,0
1297,L48476,298.7,309.9,1621,34.1,130,0,0,1,0
1298,L48477,298.8,309.9,1428,42.4,132,0,0,1,0
1299,M16158,298.7,309.8,1343,53.6,134,0,0,0,1
1300,M16159,298.7,309.9,1458,40.2,137,0,0,0,1
1301,L48480,298.7,309.8,1322,57.0,140,0,0,1,0
1302,L48481,298.7,309.9,1483,32.8,142,0,0,1,0
1303,L48482,298.6,309.8,1505,45.7,144,0,0,1,0
1304,L48483,298.7,309.9,1593,42.5,146,0,0,1,0
1305,L48484,298.8,310.0,2098,19.6,148,0,0,1,0
1306,L48485,298.8,310.0,1672,30.4,150,0,0,1,0
1307,L48486,298.8,310.0,1487,41.4,152,0,0,1,0
1308,L48487,298.8,310.0,1423,42.1,154,0,0,1,0
1309,L48488,298.9,310.1,1750,25.0,156,0,0,1,0
1310,L48489,298.9,310.2,1654,31.1,158,0,0,1,0
1311,L48490,298.9,310.2,1498,50.2,160,0,0,1,0
1312,L48491,298.9,310.1,1587,30.2,162,0,0,1,0
1313,L48492,298.9,310.1,1473,42.6,164,0,0,1,0
1314,L48493,298.9,310.2,1359,56.9,166,0,0,1,0
1315,M16174,299.0,310.3,1635,34.5,168,0,0,0,1
1316,L48495,299.0,310.3,1520,45.0,171,0,0,1,0
1317,L48496,299.0,310.3,1507,36.7,173,0,0,1,0
1318,L48497,299.0,310.3,1428,46.3,175,0,0,1,0
1319,M16178,299.0,310.3,1582,33.3,177,0,0,0,1
1320,L48499,299.0,310.3,1929,24.4,180,0,0,1,0
1321,M16180,299.0,310.3,1540,38.1,182,0,0,0,1
1322,L48501,298.9,310.2,1362,53.0,185,0,0,1,0
1323,H30736,298.9,310.1,1452,49.9,187,0,1,0,0
1324,L48503,298.9,310.1,1361,51.7,192,0,0,1,0
1325,M16184,298.8,310.1,1243,74.5,194,1,0,0,1
1326,H30739,298.8,310.1,1567,36.8,197,0,1,0,0
1327,L48506,298.9,310.2,1411,46.5,202,0,0,1,0
1328,L48507,298.8,310.2,1814,26.8,204,0,0,1,0
1329,M16188,298.8,310.1,1719,28.8,206,0,0,0,1
1330,H30743,298.8,310.2,1663,30.4,209,0,1,0,0
1331,L48510,298.9,310.2,1696,30.2,214,0,0,1,0
1332,H30745,298.9,310.2,1771,26.8,216,0,1,0,0
1333,L48512,299.0,310.3,1868,24.0,221,0,0,1,0
1334,M16193,299.0,310.3,1558,35.4,223,0,0,0,1
1335,L48514,299.0,310.4,1365,49.1,226,1,0,1,0
1336,L48515,299.0,310.4,1371,53.8,228,1,0,1,0
1337,L48516,298.9,310.3,1583,32.6,230,0,0,1,0
1338,H30751,298.7,310.2,1613,36.0,0,0,1,0,0
1339,L48518,298.6,310.1,1721,27.2,5,0,0,1,0
1340,M16199,298.6,310.2,1668,31.5,7,0,0,0,1
1341,L48520,298.6,310.2,1569,36.3,10,0,0,1,0
1342,M16201,298.6,310.2,1328,50.5,12,0,0,0,1
1343,M16202,298.6,310.1,1596,33.0,15,0,0,0,1
1344,L48523,298.5,310.2,1676,32.7,18,0,0,1,0
1345,L48524,298.5,310.1,1809,28.9,20,0,0,1,0
1346,L48525,298.5,310.0,1804,26.1,22,0,0,1,0
1347,L48526,298.6,310.1,1533,33.9,24,0,0,1,0
1348,L48527,298.7,310.2,1717,27.3,26,0,0,1,0
1349,L48528,298.7,310.2,1363,45.5,28,0,0,1,0
1350,L48529,298.7,310.2,1402,45.9,30,0,0,1,0
1351,L48530,298.7,310.2,1436,47.5,32,0,0,1,0
1352,L48531,298.7,310.2,1525,43.7,34,0,0,1,0
1353,M16212,298.7,310.2,1598,33.3,36,0,0,0,1
1354,M16213,298.6,310.1,1444,48.1,39,0,0,0,1
1355,L48534,298.6,310.0,1334,48.0,42,0,0,1,0
1356,M16215,298.6,310.0,1681,35.5,44,0,0,0,1
1357,L48536,298.6,309.9,1593,37.4,47,0,0,1,0
1358,L48537,298.6,309.9,1461,45.7,49,0,0,1,0
1359,M16218,298.7,310.1,1693,31.9,51,0,0,0,1
1360,L48539,298.7,310.2,1404,50.3,54,0,0,1,0
1361,H30774,298.8,310.2,1707,27.6,56,0,1,0,0
1362,M16221,298.6,310.1,1458,41.9,61,0,0,0,1
1363,L48542,298.6,310.0,1517,41.2,64,0,0,1,0
1364,L48543,298.7,310.1,1433,54.6,66,0,0,1,0
1365,L48544,298.7,310.2,1566,33.1,68,0,0,1,0
1366,L48545,298.7,310.1,1676,33.5,70,0,0,1,0
1367,M16226,298.7,310.1,1368,56.8,72,0,0,0,1
1368,M16227,298.8,310.2,1581,37.5,75,0,0,0,1
1369,H30782,298.8,310.3,1708,27.1,78,0,1,0,0
1370,M16229,298.7,310.3,1481,41.5,83,0,0,0,1
1371,L48550,298.7,310.3,1451,40.0,86,0,0,1,0
1372,M16231,298.7,310.3,1495,38.7,88,0,0,0,1
1373,M16232,298.8,310.3,1573,41.8,91,0,0,0,1
1374,M16233,298.8,310.3,1366,59.0,94,0,0,0,1
1375,L48554,298.8,310.3,1553,36.8,97,0,0,1,0
1376,M16235,298.8,310.3,1528,37.1,99,0,0,0,1
1377,M16236,298.8,310.2,1527,31.2,102,0,0,0,1
1378,L48557,298.8,310.2,1461,46.7,105,0,0,1,0
1379,H30792,298.8,310.2,1455,44.9,107,0,1,0,0
1380,L48559,298.7,310.1,1620,34.8,112,0,0,1,0
1381,L48560,298.7,310.1,1786,27.7,114,0,0,1,0
1382,M16241,298.8,310.2,1583,35.7,116,0,0,0,1
1383,L48562,298.8,310.1,1653,30.3,119,0,0,1,0
1384,M16243,298.9,310.2,1331,49.0,121,0,0,0,1
1385,L48564,298.9,310.3,1484,43.8,124,0,0,1,0
1386,M16245,298.9,310.2,1603,36.1,126,0,0,0,1
1387,L48566,298.9,310.2,1445,40.0,129,0,0,1,0
1388,L48567,298.9,310.1,1823,26.1,131,0,0,1,0
1389,H30802,298.9,310.1,1491,45.3,133,0,1,0,0
1390,L48569,298.9,310.2,1533,42.8,138,0,0,1,0
1391,L48570,298.9,310.2,1409,54.8,140,0,0,1,0
1392,L48571,298.9,310.2,2737,8.8,142,1,0,1,0
1393,M16252,299.0,310.3,1494,46.6,144,0,0,0,1
1394,L48573,299.1,310.4,1594,33.3,147,0,0,1,0
1395,L48574,299.1,310.4,1527,44.0,149,0,0,1,0
1396,L48575,299.1,310.4,1452,39.7,151,0,0,1,0
1397,L48576,299.0,310.3,1483,39.2,153,0,0,1,0
1398,L48577,299.1,310.2,1569,38.2,155,0,0,1,0
1399,L48578,299.1,310.3,1472,46.6,157,0,0,1,0
1400,L48579,299.0,310.2,1533,43.5,159,0,0,1,0
1401,H30814,298.9,310.1,1366,62.7,161,0,1,0,0
1402,H30815,298.9,310.2,1532,37.7,166,0,1,0,0
1403,M16262,298.9,310.1,1313,56.8,171,0,0,0,1
1404,L48583,299.0,310.2,1372,48.0,174,0,0,1,0
1405,M16264,298.9,310.1,1555,40.6,176,0,0,0,1
1406,L48585,298.9,310.1,1394,42.7,179,0,0,1,0
1407,L48586,298.9,310.1,1442,48.0,181,0,0,1,0
1408,L48587,298.9,310.0,1564,33.8,183,0,0,1,0
1409,L48588,298.9,310.0,1452,48.9,185,0,0,1,0
1410,L48589,298.9,310.1,1466,42.5,187,0,0,1,0
1411,M16270,298.9,310.1,1469,53.2,189,0,0,0,1
1412,L48591,298.9,310.1,1944,23.4,192,0,0,1,0
1413,M16272,298.8,309.9,1415,53.2,194,0,0,0,1
1414,M16273,298.7,309.8,1528,36.7,197,0,0,0,1
1415,M16274,298.7,309.8,1570,42.1,200,0,0,0,1
1416,L48595,298.7,309.9,1617,33.0,203,0,0,1,0
1417,M16276,298.7,309.9,2083,18.2,205,0,0,0,1
1418,L48597,298.7,309.9,1541,38.5,208,0,0,1,0
1419,L48598,298.8,309.9,1320,47.4,210,0,0,1,0
1420,L48599,298.7,309.8,1354,53.3,212,1,0,1,0
1421,M16280,298.8,309.9,1495,35.2,214,0,0,0,1
1422,L48601,298.7,309.8,1589,31.8,217,0,0,1,0
1423,L48602,298.7,309.8,1530,35.5,0,0,0,1,0
1424,L48603,298.7,309.8,1539,33.4,2,0,0,1,0
1425,L48604,298.7,309.7,1462,46.8,4,0,0,1,0
1426,L48605,298.6,309.7,1356,54.0,6,0,0,1,0
1427,M16286,298.7,309.7,1622,34.6,8,0,0,0,1
1428,L48607,298.7,309.8,1394,40.3,11,0,0,1,0
1429,L48608,298.8,309.9,1568,33.7,13,0,0,1,0
1430,M16289,298.9,310.0,1456,43.8,15,0,0,0,1
1431,L48610,298.9,310.0,1378,49.3,18,0,0,1,0
1432,M16291,298.9,309.9,1404,41.4,20,0,0,0,1
1433,L48612,298.8,309.8,1437,42.8,23,0,0,1,0
1434,L48613,298.8,309.8,1363,44.0,25,0,0,1,0
1435,M16294,298.8,309.8,1377,49.6,27,0,0,0,1
1436,H30849,298.8,309.9,1526,42.1,30,0,1,0,0
1437,H30850,298.8,309.8,1510,44.2,35,0,1,0,0
1438,H30851,298.8,309.9,1439,45.2,40,1,1,0,0
1439,L48618,298.8,309.9,1482,39.1,45,0,0,1,0
1440,M16299,298.8,309.8,1534,37.0,47,0,0,0,1
1441,M16300,298.8,309.9,1741,27.7,50,0,0,0,1
1442,L48621,298.8,309.9,1550,38.8,53,0,0,1,0
1443,M16302,298.8,310.0,1486,38.5,55,0,0,0,1
1444,L48623,298.9,310.1,1602,38.2,58,0,0,1,0
1445,L48624,299.0,310.2,1477,37.9,60,0,0,1,0
1446,L48625,299.0,310.1,1618,29.2,62,0,0,1,0
1447,M16306,299.0,310.2,1628,35.8,64,0,0,0,1
1448,M16307,299.0,310.3,1662,33.6,67,0,0,0,1
1449,M16308,299.0,310.3,1657,31.0,70,0,0,0,1
1450,H30863,299.0,310.4,1677,30.8,73,0,1,0,0
1451,M16310,299.0,310.3,1447,39.9,78,0,0,0,1
1452,L48631,298.9,310.4,1831,25.4,81,0,0,1,0
1453,L48632,299.0,310.3,1584,34.4,83,0,0,1,0
1454,L48633,299.1,310.4,1450,40.9,85,0,0,1,0
1455,L48634,299.1,310.4,1428,46.9,87,0,0,1,0
1456,L48635,299.0,310.4,1382,53.0,89,0,0,1,0
1457,L48636,299.0,310.3,1501,43.0,91,0,0,1,0
1458,L48637,299.0,310.3,1475,42.4,93,0,0,1,0
1459,L48638,298.9,310.3,1364,54.0,95,0,0,1,0
1460,L48639,299.0,310.3,1472,36.1,97,0,0,1,0
1461,L48640,299.0,310.3,1437,47.8,99,0,0,1,0
1462,L48641,298.9,310.2,1491,45.1,101,0,0,1,0
1463,L48642,298.9,310.2,1706,27.6,103,0,0,1,0
1464,L48643,298.8,310.1,1607,39.5,105,0,0,1,0
1465,L48644,298.8,310.0,1412,46.3,107,0,0,1,0
1466,L48645,298.7,309.8,1546,40.9,109,0,0,1,0
1467,L48646,298.7,309.8,1365,50.5,111,0,0,1,0
1468,L48647,298.6,309.8,1544,30.2,113,0,0,1,0
1469,M16328,298.6,309.8,1419,44.9,115,0,0,0,1
1470,L48649,298.6,309.8,1497,41.6,118,0,0,1,0
1471,L48650,298.5,309.7,1437,42.6,120,0,0,1,0
1472,L48651,298.5,309.6,1421,53.6,122,0,0,1,0
1473,M16332,298.5,309.6,1438,44.5,124,0,0,0,1
1474,M16333,298.5,309.5,1315,48.9,127,0,0,0,1
1475,M16334,298.5,309.5,1366,61.9,130,0,0,0,1
1476,M16335,298.4,309.5,1519,35.4,133,0,0,0,1
1477,L48656,298.4,309.5,1692,28.3,136,0,0,1,0
1478,L48657,298.3,309.4,1570,35.6,138,0,0,1,0
1479,L48658,298.3,309.4,1568,35.8,140,0,0,1,0
1480,L48659,298.2,309.3,1355,43.8,142,0,0,1,0
1481,M16340,298.2,309.3,2056,18.7,144,0,0,0,1
1482,M16341,298.2,309.2,1332,60.2,147,0,0,0,1
1483,M16342,298.1,309.1,1448,52.5,150,0,0,0,1
1484,L48663,298.0,308.9,1578,35.6,153,0,0,1,0
1485,M16344,298.0,309.0,1562,39.2,155,0,0,0,1
1486,M16345,298.1,309.0,1976,19.3,158,0,0,0,1
1487,M16346,298.2,309.2,1524,34.6,161,0,0,0,1
1488,L48667,298.2,309.1,1429,48.5,164,0,0,1,0
1489,L48668,298.2,309.1,1568,36.3,166,0,0,1,0
1490,M16349,298.2,309.0,1723,26.6,168,0,0,0,1
1491,L48670,298.2,309.0,1341,43.8,171,0,0,1,0
1492,M16351,298.1,308.9,1353,46.2,173,0,0,0,1
1493,M16352,298.0,308.7,1479,58.5,176,1,0,0,1
1494,L48673,298.0,308.8,1496,44.9,179,0,0,1,0
1495,M16354,298.0,308.7,1377,48.5,181,0,0,0,1
1496,H30909,297.9,308.5,1383,44.6,184,0,1,0,0
1497,L48676,298.0,308.7,1268,69.4,189,1,0,1,0
1498,L48677,298.0,308.7,1629,34.3,191,0,0,1,0
1499,L48678,298.0,308.8,1790,27.2,193,0,0,1,0
1500,M16359,298.1,308.8,2206,16.3,195,0,0,0,1
1501,M16360,298.0,308.7,2101,17.4,198,0,0,0,1
1502,M16361,298.0,308.7,1436,48.2,201,0,0,0,1
1503,L48682,298.0,308.7,1462,48.2,204,0,0,1,0
1504,L48683,298.0,308.7,1771,26.2,206,0,0,1,0
1505,L48684,298.0,308.7,1506,47.0,208,0,0,1,0
1506,L48685,298.0,308.7,1626,36.7,210,0,0,1,0
1507,L48686,298.0,308.8,1610,33.7,212,0,0,1,0
1508,M16367,298.0,308.6,1376,55.7,214,0,0,0,1
1509,M16368,298.0,308.6,1507,37.3,217,0,0,0,1
1510,L48689,298.0,308.5,1429,37.7,220,1,0,1,0
1511,M16370,298.1,308.7,1547,38.9,0,0,0,0,1
1512,L48691,298.1,308.7,1642,30.3,3,0,0,1,0
1513,H30926,298.0,308.7,1503,36.3,5,0,1,0,0
1514,L48693,298.1,308.7,1568,32.9,10,0,0,1,0
1515,M16374,298.1,308.8,1628,37.6,12,0,0,0,1
1516,M16375,298.2,308.9,1614,35.5,15,0,0,0,1
1517,L48696,298.2,308.9,1278,54.0,18,0,0,1,0
1518,M16377,298.2,308.9,1408,38.8,20,0,0,0,1
1519,H30932,298.2,309.0,1371,55.7,23,0,1,0,0
1520,M16379,298.2,308.9,1512,38.5,28,0,0,0,1
1521,L48700,298.3,309.1,1472,40.1,31,0,0,1,0
1522,M16381,298.2,308.9,1585,34.3,33,0,0,0,1
1523,H30936,298.2,309.0,1562,37.7,36,0,1,0,0
1524,L48703,298.3,309.0,1519,36.9,41,0,0,1,0
1525,L48704,298.2,309.0,1601,35.8,43,0,0,1,0
1526,L48705,298.2,309.0,2449,13.8,45,0,0,1,0
1527,L48706,298.1,309.0,1787,27.6,47,0,0,1,0
1528,H30941,298.1,309.1,1425,44.5,49,0,1,0,0
1529,L48708,298.1,309.0,1559,34.0,54,0,0,1,0
1530,L48709,298.1,309.0,1557,36.0,56,0,0,1,0
1531,L48710,298.1,309.0,1497,40.5,58,0,0,1,0
1532,H30945,298.1,309.0,1438,41.4,60,0,1,0,0
1533,M16392,298.1,308.9,1417,39.2,65,0,0,0,1
1534,M16393,298.0,308.9,1339,51.4,68,0,0,0,1
1535,L48714,298.0,308.8,1757,29.1,71,0,0,1,0
1536,L48715,298.0,308.8,1581,36.1,73,0,0,1,0
1537,M16396,298.2,308.9,1326,54.4,75,0,0,0,1
1538,M16397,298.4,309.1,1467,39.6,78,0,0,0,1
1539,L48718,298.4,309.1,1798,29.6,81,0,0,1,0
1540,M16399,298.5,309.2,1449,46.4,83,0,0,0,1
1541,M16400,298.4,309.1,1525,39.3,86,0,0,0,1
1542,L48721,298.4,309.0,2304,15.1,89,0,0,1,0
1543,L48722,298.3,308.9,1379,54.7,91,0,0,1,0
1544,L48723,298.4,308.9,1628,34.9,93,0,0,1,0
1545,L48724,298.4,309.0,1474,52.7,95,0,0,1,0
1546,M16405,298.4,309.0,1544,38.8,97,0,0,0,1
1547,L48726,298.4,308.9,1391,48.4,100,0,0,1,0
1548,L48727,298.3,308.9,1348,55.5,102,0,0,1,0
1549,M16408,298.3,308.8,1349,52.1,104,0,0,0,1
1550,L48729,298.4,308.9,1706,29.5,107,0,0,1,0
1551,L48730,298.4,308.9,1638,32.4,109,0,0,1,0
1552,L48731,298.4,308.8,1458,40.1,111,0,0,1,0
1553,L48732,298.5,308.9,1781,27.8,113,0,0,1,0
1554,L48733,298.5,308.8,1332,59.1,115,0,0,1,0
1555,M16414,298.4,308.7,1584,31.7,117,0,0,0,1
1556,L48735,298.4,308.6,1491,42.0,120,0,0,1,0
1557,H30970,298.4,308.5,1398,47.1,122,0,1,0,0
1558,L48737,298.3,308.4,1585,30.6,127,0,0,1,0
1559,M16418,298.2,308.3,1476,43.5,129,0,0,0,1
1560,L48739,298.2,308.3,1458,41.8,132,0,0,1,0
1561,M16420,298.2,308.4,1510,39.9,134,0,0,0,1
1562,L48741,298.2,308.4,1388,53.8,137,0,0,1,0
1563,L48742,298.2,308.3,2216,16.8,139,0,0,1,0
1564,L48743,298.2,308.3,1402,51.0,141,0,0,1,0
1565,M16424,298.0,308.2,2090,19.0,143,0,0,0,1
1566,L48745,298.0,308.2,1459,42.1,146,0,0,1,0
1567,M16426,298.0,308.1,1403,44.8,148,0,0,0,1
1568,L48747,298.1,308.2,1521,39.3,151,0,0,1,0
1569,L48748,298.2,308.2,1407,47.1,153,0,0,1,0
1570,M16429,298.1,308.2,1654,35.3,155,0,0,0,1
1571,L48750,298.2,308.4,1452,43.5,158,0,0,1,0
1572,L48751,298.3,308.4,1528,37.3,160,0,0,1,0
1573,L48752,298.2,308.3,1230,59.6,162,0,0,1,0
1574,L48753,298.2,308.2,1466,42.4,164,0,0,1,0
1575,L48754,298.2,308.2,1478,50.1,166,0,0,1,0
1576,L48755,298.2,308.3,2057,18.0,168,0,0,1,0
1577,L48756,298.3,308.4,1490,41.7,170,0,0,1,0
1578,L48757,298.3,308.4,1484,43.4,172,0,0,1,0
1579,L48758,298.3,308.4,1593,37.0,174,0,0,1,0
1580,L48759,298.3,308.3,1444,43.8,176,0,0,1,0
1581,M16440,298.3,308.4,1444,47.5,178,0,0,0,1
1582,M16441,298.2,308.3,1560,33.0,181,0,0,0,1
1583,H30996,298.1,308.3,1530,42.0,184,0,1,0,0
1584,L48763,298.2,308.4,1310,61.0,189,1,0,1,0
1585,M16444,298.2,308.3,1639,33.3,191,0,0,0,1
1586,L48765,298.2,308.3,1400,48.7,194,0,0,1,0
1587,M16446,298.3,308.4,1486,44.2,196,0,0,0,1
1588,M16447,298.2,308.3,1448,43.3,199,0,0,0,1
1589,L48768,298.2,308.3,1688,32.0,202,0,0,1,0
1590,M16449,298.1,308.3,1453,41.5,204,0,0,0,1
1591,L48770,298.2,308.4,1497,37.7,207,0,0,1,0
1592,L48771,298.2,308.4,1355,49.4,209,0,0,1,0
1593,L48772,298.1,308.4,1592,38.2,211,0,0,1,0
1594,L48773,298.0,308.3,1544,34.7,213,0,0,1,0
1595,M16454,298.0,308.2,1373,51.2,215,0,0,0,1
1596,L48775,298.0,308.2,1365,52.9,218,1,0,1,0
1597,L48776,298.0,308.1,1877,24.3,0,0,0,1,0
1598,L48777,297.9,308.1,1531,40.8,2,0,0,1,0
1599,L48778,297.9,308.0,1501,36.7,4,0,0,1,0
1600,L48779,297.9,308.0,1490,46.2,6,0,0,1,0
1601,M16460,297.8,307.8,1543,43.7,8,0,0,0,1
1602,L48781,297.8,307.8,1597,38.2,11,0,0,1,0
1603,H31016,297.8,307.9,1600,33.5,13,0,1,0,0
1604,M16463,297.8,307.8,1622,32.1,18,0,0,0,1
1605,L48784,297.8,307.8,1452,39.8,21,0,0,1,0
1606,L48785,297.8,307.8,1396,42.5,23,0,0,1,0
1607,L48786,297.8,307.7,1505,39.7,25,0,0,1,0
1608,L48787,297.8,307.8,1412,48.3,27,0,0,1,0
1609,L48788,297.8,307.7,1393,38.0,29,0,0,1,0
1610,L48789,297.7,307.7,1581,34.9,31,0,0,1,0
1611,L48790,297.8,307.8,1573,37.9,33,0,0,1,0
1612,M16471,297.8,307.9,1726,27.3,35,0,0,0,1
1613,M16472,297.9,307.9,1540,39.8,38,0,0,0,1
1614,L48793,297.9,308.0,1296,62.9,41,0,0,1,0
1615,M16474,297.8,307.9,1802,25.8,43,0,0,0,1
1616,L48795,297.8,307.9,1447,48.6,46,0,0,1,0
1617,H31030,297.8,307.8,1662,30.7,48,0,1,0,0
1618,L48797,297.8,307.8,1563,34.3,53,0,0,1,0
1619,L48798,297.9,307.8,1286,59.5,55,0,0,1,0
1620,L48799,297.9,307.7,1590,34.6,57,0,0,1,0
1621,L48800,297.9,307.7,1492,43.7,59,0,0,1,0
1622,L48801,297.7,307.6,1844,21.9,61,0,0,1,0
1623,H31036,297.7,307.6,1538,38.3,63,0,1,0,0
1624,L48803,297.7,307.6,1921,22.9,68,0,0,1,0
1625,M16484,297.8,307.8,1310,57.9,70,0,0,0,1
1626,L48805,297.9,307.8,1365,46.9,73,0,0,1,0
1627,M16486,297.9,307.8,1303,59.3,75,0,0,0,1
1628,L48807,297.9,307.8,1499,37.5,78,0,0,1,0
1629,L48808,297.9,307.8,1451,38.2,80,0,0,1,0
1630,M16489,297.9,307.9,1336,54.4,82,0,0,0,1
1631,L48810,297.9,307.9,1412,44.5,85,0,0,1,0
1632,L48811,298.0,308.0,1433,39.2,87,0,0,1,0
1633,L48812,297.9,307.9,1426,43.6,89,0,0,1,0
1634,L48813,297.9,307.9,1476,45.2,91,0,0,1,0
1635,H31048,297.9,307.9,1406,58.5,93,0,1,0,0
1636,L48815,297.8,307.8,1383,56.5,98,0,0,1,0
1637,L48816,297.9,307.8,1505,37.3,100,0,0,1,0
1638,L48817,297.9,307.8,1665,33.9,102,0,0,1,0
1639,L48818,297.9,307.8,1397,45.0,104,0,0,1,0
1640,M16499,297.9,307.8,1450,43.5,106,0,0,0,1
1641,L48820,298.0,307.8,1567,36.4,109,0,0,1,0
1642,M16501,298.0,308.0,1555,37.0,111,0,0,0,1
1643,H31056,298.0,307.8,1588,35.4,114,0,1,0,0
1644,L48823,298.0,307.8,1453,37.7,119,0,0,1,0
1645,L48824,298.0,307.8,1622,33.3,121,0,0,1,0
1646,L48825,297.9,307.8,1538,38.5,123,0,0,1,0
1647,M16506,297.9,307.7,1527,42.8,125,0,0,0,1
1648,L48827,297.8,307.8,1761,28.9,128,0,0,1,0
1649,L48828,297.9,307.8,1373,50.2,130,0,0,1,0
1650,H31063,298.0,307.9,1482,37.8,132,0,1,0,0
1651,M16510,298.0,307.9,1417,51.0,137,0,0,0,1
1652,L48831,298.0,307.8,1414,51.7,140,0,0,1,0
1653,H31066,297.9,307.8,1635,34.0,142,0,1,0,0
1654,L48833,298.0,307.8,1386,57.3,147,0,0,1,0
1655,L48834,298.2,308.1,1379,62.3,149,0,0,1,0
1656,M16515,298.2,308.0,1577,35.9,151,0,0,0,1
1657,L48836,298.2,308.1,1532,42.5,154,0,0,1,0
1658,M16517,298.1,308.0,1374,48.8,156,0,0,0,1
1659,H31072,298.1,308.0,1570,35.3,159,0,1,0,0
1660,L48839,298.1,308.0,1697,31.0,164,0,0,1,0
1661,L48840,298.2,308.0,1499,44.1,166,0,0,1,0
1662,M16521,298.2,308.0,1411,47.2,168,0,0,0,1
1663,H31076,298.2,307.9,1462,45.5,171,0,1,0,0
1664,M16523,298.1,307.9,1759,28.6,176,0,0,0,1
